id_transaction,type_transaction,montant,devise,frais,statut,ville,pays
id_transaction_00000098,Dépôt,194.28,GBP,6.97,Complétée,Londres,Royaume-Uni
id_transaction_00000099,Retrait,5959.53,CNY,8.21,En attente,Pékin,Chine
id_transaction_00000100,Prélèvement,360.77,USD,7.69,Complétée,Washington DC,USA
id_transaction_00000101,Retrait,35.12,CNY,1.15,Complétée,Pékin,Chine
id_transaction_00000102,Carte,58.68,ZAR,9.32,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000103,Virement,8960.36,JPY,5.49,Complétée,Tokyo,Japon
id_transaction_00000104,Prélèvement,21.81,USD,1.39,Complétée,Washington DC,USA
id_transaction_00000105,Dépôt,2786.69,GBP,1.07,Complétée,Londres,Royaume-Uni
id_transaction_00000106,Retrait,809.79,JPY,9.33,Complétée,Tokyo,Japon
id_transaction_00000107,Retrait,531.27,EUR,0.48,Complétée,Francfort,Allemagne
id_transaction_00000108,Carte,92.73,USD,1.64,Complétée,New York,USA
id_transaction_00000109,Dépôt,267.45,JPY,5.88,Complétée,Tokyo,Japon
id_transaction_00000110,Virement International,10059.05,EUR,188.34,En attente,Paris,France
id_transaction_00000111,Prélèvement,574.46,GBP,1.17,Complétée,Londres,Royaume-Uni
id_transaction_00000112,Virement,2243.14,MAD,8.94,Complétée,Casablanca,Maroc
id_transaction_00000113,Virement,3884.14,JPY,8.77,Complétée,Tokyo,Japon
id_transaction_00000114,Carte,99.79,MAD,8.46,Complétée,Rabat,Maroc
id_transaction_00000115,Carte,455.49,MAD,0.12,Complétée,Casablanca,Maroc
id_transaction_00000116,Virement International,8383.59,JPY,146.73,En attente,Tokyo,Japon
id_transaction_00000117,Prélèvement,613.97,USD,5.06,Rejetée,New York,USA
id_transaction_00000118,Retrait,74.57,MAD,1.02,Complétée,Rabat,Maroc
id_transaction_00000119,Carte,79.47,USD,6.07,Complétée,New York,USA
id_transaction_00000120,Virement International,3641.65,EUR,18.08,Complétée,Francfort,Allemagne
id_transaction_00000121,Virement,82.93,GBP,6.08,Complétée,Londres,Royaume-Uni
id_transaction_00000122,Virement,135.07,MAD,7.88,Complétée,Casablanca,Maroc
id_transaction_00000123,Prélèvement,513.9,EUR,0.33,Complétée,Francfort,Allemagne
id_transaction_00000124,Virement,1291.05,JPY,4.19,Complétée,Tokyo,Japon
id_transaction_00000125,Virement,269.53,EUR,0.85,Rejetée,Paris,France
id_transaction_00000126,Dépôt,440.9,JPY,8.98,Complétée,Tokyo,Japon
id_transaction_00000127,Virement International,109.79,GBP,2.35,Complétée,Londres,Royaume-Uni
id_transaction_00000128,Retrait,26743.56,CNY,8.62,Complétée,Pékin,Chine
id_transaction_00000129,Prélèvement,76.26,MAD,0.25,Complétée,Casablanca,Maroc
id_transaction_00000130,Virement,5588.16,EUR,2.54,Complétée,Paris,France
id_transaction_00000131,Dépôt,238.41,MAD,2.43,Complétée,Casablanca,Maroc
id_transaction_00000132,Virement International,4941.93,GBP,43.46,Complétée,Londres,Royaume-Uni
id_transaction_00000133,Prélèvement,658.0,USD,4.21,Complétée,New York,USA
id_transaction_00000134,Dépôt,1945.97,EUR,2.68,Complétée,Paris,France
id_transaction_00000135,Virement International,1430.89,JPY,41.83,Complétée,Tokyo,Japon
id_transaction_00000136,Prélèvement,819.42,CNY,9.85,Complétée,Pékin,Chine
id_transaction_00000137,Virement,10227.74,GBP,2.58,Complétée,Londres,Royaume-Uni
id_transaction_00000138,Prélèvement,469.29,JPY,8.15,Complétée,Tokyo,Japon
id_transaction_00000139,Virement,6102.33,GBP,1.07,Complétée,Londres,Royaume-Uni
id_transaction_00000140,Prélèvement,391.01,CNY,6.65,Complétée,Pékin,Chine
id_transaction_00000141,Virement,717.25,MAD,0.47,Complétée,Casablanca,Maroc
id_transaction_00000142,Carte,10.0,EUR,2.45,Complétée,Francfort,Allemagne
id_transaction_00000143,Retrait,954.27,EUR,4.76,Complétée,Francfort,Allemagne
id_transaction_00000144,Virement International,89.38,MAD,0.58,Complétée,Casablanca,Maroc
id_transaction_00000145,Dépôt,2261.79,EUR,1.07,Complétée,Francfort,Allemagne
id_transaction_00000146,Virement,140.5,GBP,6.88,Complétée,Londres,Royaume-Uni
id_transaction_00000147,Dépôt,1041.7,EUR,2.72,Complétée,Paris,France
id_transaction_00000148,Carte,234.82,USD,9.17,Complétée,Washington DC,USA
id_transaction_00000149,Virement,1991.92,GBP,7.32,Complétée,Londres,Royaume-Uni
id_transaction_00000150,Prélèvement,1984.88,CNY,2.21,Complétée,Pékin,Chine
id_transaction_00000151,Prélèvement,21.57,GBP,1.21,Complétée,Londres,Royaume-Uni
id_transaction_00000152,Prélèvement,265.27,MAD,7.95,Complétée,Casablanca,Maroc
id_transaction_00000153,Dépôt,466.0,MAD,2.3,Complétée,Casablanca,Maroc
id_transaction_00000154,Carte,27.29,JPY,4.41,Complétée,Tokyo,Japon
id_transaction_00000155,Virement,2553.56,CNY,5.2,Complétée,Pékin,Chine
id_transaction_00000156,Virement International,15868.99,JPY,219.92,Complétée,Tokyo,Japon
id_transaction_00000157,Carte,25.13,USD,4.8,Complétée,Washington DC,USA
id_transaction_00000158,Virement,3340.99,USD,4.18,Complétée,New York,USA
id_transaction_00000159,Virement International,11320.97,EUR,94.17,En attente,Francfort,UE
id_transaction_00000160,Virement,4541.24,ZAR,1.24,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000161,Dépôt,1404.33,JPY,9.89,Complétée,Tokyo,Japon
id_transaction_00000162,Dépôt,550.83,MAD,8.38,Complétée,Casablanca,Maroc
id_transaction_00000163,Prélèvement,216.2,JPY,9.57,Complétée,Tokyo,Japon
id_transaction_00000164,Retrait,2419.4,GBP,1.74,En cours,Londres,Royaume-Uni
id_transaction_00000165,Virement International,33.4,EUR,0.27,Complétée,Francfort,UE
id_transaction_00000166,Prélèvement,108.03,GBP,8.1,En attente,Londres,Royaume-Uni
id_transaction_00000167,Dépôt,29.29,USD,2.6,Complétée,New York,USA
id_transaction_00000168,Prélèvement,61.19,JPY,2.2,Complétée,Tokyo,Japon
id_transaction_00000169,Carte,10.0,JPY,5.92,En attente,Tokyo,Japon
id_transaction_00000170,Prélèvement,109.36,EUR,8.64,Complétée,Francfort,UE
id_transaction_00000171,Dépôt,154.97,MAD,1.6,En attente,Rabat,Maroc
id_transaction_00000172,Virement,198.1,JPY,1.06,Rejetée,Tokyo,Japon
id_transaction_00000173,Carte,42.49,CNY,3.35,En attente,Pékin,Chine
id_transaction_00000174,Retrait,502.74,MAD,7.57,Complétée,Casablanca,Maroc
id_transaction_00000175,Carte,56.65,CNY,2.6,Complétée,Pékin,Chine
id_transaction_00000176,Virement International,3568.54,JPY,1.97,Complétée,Tokyo,Japon
id_transaction_00000177,Retrait,524.96,GBP,0.68,Complétée,Londres,Royaume-Uni
id_transaction_00000178,Virement,744.54,GBP,3.46,Complétée,Londres,Royaume-Uni
id_transaction_00000179,Dépôt,2219.21,CNY,2.53,Complétée,Pékin,Chine
id_transaction_00000180,Carte,27.51,USD,1.02,Rejetée,Washington DC,USA
id_transaction_00000181,Carte,293.76,GBP,2.73,Complétée,Londres,Royaume-Uni
id_transaction_00000182,Retrait,2880.78,GBP,9.1,Complétée,Londres,Royaume-Uni
id_transaction_00000183,Carte,99.9,CNY,5.63,Complétée,Pékin,Chine
id_transaction_00000184,Retrait,1135.46,CNY,8.69,Complétée,Pékin,Chine
id_transaction_00000185,Virement International,8330.43,USD,241.79,Complétée,New York,USA
id_transaction_00000186,Virement International,1783.58,ZAR,6.7,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000187,Virement,132.79,CNY,5.82,Complétée,Pékin,Chine
id_transaction_00000188,Dépôt,394.87,USD,1.5,En cours,Washington DC,USA
id_transaction_00000189,Prélèvement,37.49,EUR,6.95,Complétée,Paris,France
id_transaction_00000190,Virement International,2709.66,GBP,40.55,Complétée,Londres,Royaume-Uni
id_transaction_00000191,Prélèvement,199.01,EUR,3.22,Complétée,Paris,France
id_transaction_00000192,Retrait,92.93,MAD,6.36,Complétée,Casablanca,Maroc
id_transaction_00000193,Prélèvement,877.52,EUR,4.84,Complétée,Paris,France
id_transaction_00000194,Retrait,2341.06,EUR,0.82,Complétée,Francfort,UE
id_transaction_00000195,Carte,10.0,CNY,4.7,Complétée,Pékin,Chine
id_transaction_00000196,Carte,265.48,JPY,4.98,Complétée,Tokyo,Japon
id_transaction_00000197,Dépôt,74.31,EUR,6.8,Complétée,Paris,France
id_transaction_00000198,Retrait,341.69,JPY,5.05,Complétée,Tokyo,Japon
id_transaction_00000199,Virement,344.44,EUR,8.73,Complétée,Paris,France
id_transaction_00000200,Carte,23.12,JPY,6.23,Complétée,Tokyo,Japon
id_transaction_00000201,Virement International,5696.46,USD,84.13,Complétée,New York,USA
id_transaction_00000202,Virement,260.54,MAD,0.95,Complétée,Casablanca,Maroc
id_transaction_00000203,Virement,39.1,EUR,0.73,Complétée,Francfort,UE
id_transaction_00000204,Carte,36.29,ZAR,8.29,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000205,Dépôt,132.55,MAD,3.79,Rejetée,Rabat,Maroc
id_transaction_00000206,Carte,10.0,EUR,7.82,Complétée,Francfort,Allemagne
id_transaction_00000207,Virement International,1550.35,CNY,2.66,Complétée,Pékin,Chine
id_transaction_00000208,Carte,23.89,JPY,2.25,Complétée,Tokyo,Japon
id_transaction_00000209,Carte,715.97,JPY,3.97,Complétée,Tokyo,Japon
id_transaction_00000210,Dépôt,1284.11,EUR,3.23,Complétée,Paris,France
id_transaction_00000211,Retrait,134.42,EUR,1.88,Complétée,Francfort,Allemagne
id_transaction_00000212,Virement International,8191.52,USD,43.53,En attente,New York,USA
id_transaction_00000213,Prélèvement,531.48,USD,7.69,Complétée,Washington DC,USA
id_transaction_00000214,Retrait,518.09,USD,2.16,Complétée,New York,USA
id_transaction_00000215,Carte,12.37,USD,6.05,Complétée,New York,USA
id_transaction_00000216,Prélèvement,549.65,GBP,3.27,Complétée,Londres,Royaume-Uni
id_transaction_00000217,Prélèvement,258.18,CNY,8.18,Complétée,Pékin,Chine
id_transaction_00000218,Virement,3176.58,MAD,3.96,Complétée,Casablanca,Maroc
id_transaction_00000219,Virement,16.01,JPY,0.15,Complétée,Tokyo,Japon
id_transaction_00000220,Dépôt,83.64,USD,9.51,Complétée,Washington DC,USA
id_transaction_00000221,Carte,10.0,USD,4.77,Complétée,Washington DC,USA
id_transaction_00000222,Virement International,4196.23,EUR,90.07,Complétée,Francfort,Allemagne
id_transaction_00000223,Dépôt,1259.4,EUR,2.43,Complétée,Francfort,Allemagne
id_transaction_00000224,Retrait,615.1,EUR,3.52,Rejetée,Francfort,Allemagne
id_transaction_00000225,Retrait,91.57,USD,8.03,Complétée,Washington DC,USA
id_transaction_00000226,Prélèvement,77.06,EUR,7.16,Complétée,Francfort,UE
id_transaction_00000227,Prélèvement,920.65,GBP,1.81,Complétée,Londres,Royaume-Uni
id_transaction_00000228,Retrait,651.76,EUR,0.87,Complétée,Paris,France
id_transaction_00000229,Carte,65.59,MAD,8.19,Complétée,Rabat,Maroc
id_transaction_00000230,Prélèvement,911.37,GBP,3.61,Complétée,Londres,Royaume-Uni
id_transaction_00000231,Virement,137.33,EUR,8.23,Complétée,Paris,France
id_transaction_00000232,Prélèvement,1544.39,MAD,1.5,Complétée,Casablanca,Maroc
id_transaction_00000233,Virement,237.18,EUR,0.96,Complétée,Paris,France
id_transaction_00000234,Virement International,76633.77,EUR,134.39,Complétée,Francfort,Allemagne
id_transaction_00000235,Carte,10.0,USD,7.25,Complétée,Washington DC,USA
id_transaction_00000236,Retrait,20.88,EUR,6.03,Complétée,Francfort,Allemagne
id_transaction_00000237,Carte,22.82,CNY,2.27,Complétée,Pékin,Chine
id_transaction_00000238,Carte,11.92,GBP,0.68,Complétée,Londres,Royaume-Uni
id_transaction_00000239,Carte,688.46,JPY,2.31,Complétée,Tokyo,Japon
id_transaction_00000240,Prélèvement,1489.01,EUR,6.62,En cours,Francfort,UE
id_transaction_00000241,Virement International,572.53,GBP,16.52,Complétée,Londres,Royaume-Uni
id_transaction_00000242,Virement,883.74,EUR,0.01,Complétée,Paris,France
id_transaction_00000243,Retrait,102.53,USD,9.74,Complétée,New York,USA
id_transaction_00000244,Carte,171.77,MAD,2.57,Complétée,Rabat,Maroc
id_transaction_00000245,Virement,62.98,USD,0.63,Complétée,New York,USA
id_transaction_00000246,Prélèvement,418.75,GBP,3.81,Complétée,Londres,Royaume-Uni
id_transaction_00000247,Virement,176.6,USD,9.42,Complétée,Washington DC,USA
id_transaction_00000248,Dépôt,1366.2,EUR,5.75,Complétée,Paris,France
id_transaction_00000249,Prélèvement,705.98,GBP,7.21,Complétée,Londres,Royaume-Uni
id_transaction_00000250,Prélèvement,184.27,MAD,2.24,Complétée,Casablanca,Maroc
id_transaction_00000251,Virement International,384.97,USD,10.37,Complétée,Washington DC,USA
id_transaction_00000252,Dépôt,634.34,ZAR,8.25,Rejetée,Johannesburg,Afrique du Sud
id_transaction_00000253,Carte,116.94,JPY,4.32,Complétée,Tokyo,Japon
id_transaction_00000254,Retrait,437.46,JPY,1.06,Complétée,Tokyo,Japon
id_transaction_00000255,Dépôt,94.65,CNY,0.61,Complétée,Pékin,Chine
id_transaction_00000256,Virement,754.3,JPY,9.95,Complétée,Tokyo,Japon
id_transaction_00000257,Virement International,1371.48,GBP,20.96,Complétée,Londres,Royaume-Uni
id_transaction_00000258,Carte,70.5,MAD,3.06,Complétée,Casablanca,Maroc
id_transaction_00000259,Prélèvement,332.7,GBP,1.95,Complétée,Londres,Royaume-Uni
id_transaction_00000260,Virement International,21563.1,MAD,474.57,Complétée,Casablanca,Maroc
id_transaction_00000261,Prélèvement,3146.86,JPY,5.82,Complétée,Tokyo,Japon
id_transaction_00000262,Carte,30.69,MAD,2.41,Complétée,Casablanca,Maroc
id_transaction_00000263,Retrait,1372.21,EUR,4.99,Complétée,Paris,France
id_transaction_00000264,Virement,925.88,EUR,8.6,Complétée,Paris,France
id_transaction_00000265,Retrait,657.05,GBP,2.53,Complétée,Londres,Royaume-Uni
id_transaction_00000266,Dépôt,314.16,USD,3.86,Complétée,New York,USA
id_transaction_00000267,Virement,67.56,USD,7.37,Complétée,New York,USA
id_transaction_00000268,Carte,59.98,MAD,7.46,Complétée,Rabat,Maroc
id_transaction_00000269,Dépôt,53.48,MAD,3.5,Complétée,Rabat,Maroc
id_transaction_00000270,Dépôt,93.93,MAD,1.74,Complétée,Casablanca,Maroc
id_transaction_00000271,Retrait,144.69,EUR,9.76,En attente,Paris,France
id_transaction_00000272,Virement,1169.46,MAD,2.61,Complétée,Casablanca,Maroc
id_transaction_00000273,Retrait,439.45,EUR,5.82,Complétée,Paris,France
id_transaction_00000274,Virement,2015.78,EUR,2.25,En attente,Francfort,Allemagne
id_transaction_00000275,Retrait,187.32,USD,9.28,Complétée,New York,USA
id_transaction_00000276,Virement International,651.45,CNY,19.4,Complétée,Pékin,Chine
id_transaction_00000277,Virement,62.68,MAD,9.78,Complétée,Casablanca,Maroc
id_transaction_00000278,Retrait,1000.55,ZAR,3.2,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000279,Retrait,350.18,EUR,7.26,Complétée,Francfort,Allemagne
id_transaction_00000280,Dépôt,354.66,EUR,3.42,Complétée,Paris,France
id_transaction_00000281,Dépôt,514.92,EUR,8.77,Complétée,Francfort,UE
id_transaction_00000282,Prélèvement,111.67,JPY,8.12,Complétée,Tokyo,Japon
id_transaction_00000283,Virement,582.62,CNY,6.58,Complétée,Pékin,Chine
id_transaction_00000284,Virement International,2008.49,EUR,11.33,Complétée,Paris,France
id_transaction_00000285,Virement,45.84,GBP,1.49,Complétée,Londres,Royaume-Uni
id_transaction_00000286,Carte,10.39,CNY,3.85,Complétée,Pékin,Chine
id_transaction_00000287,Virement International,174.73,GBP,3.65,Complétée,Londres,Royaume-Uni
id_transaction_00000288,Retrait,28.75,EUR,3.88,Complétée,Paris,France
id_transaction_00000289,Retrait,180.09,GBP,2.25,Complétée,Londres,Royaume-Uni
id_transaction_00000290,Retrait,148.45,EUR,4.98,Complétée,Paris,France
id_transaction_00000291,Retrait,72.78,CNY,3.28,Complétée,Pékin,Chine
id_transaction_00000292,Retrait,301.72,MAD,8.01,Complétée,Rabat,Maroc
id_transaction_00000293,Retrait,799.14,MAD,4.96,Complétée,Casablanca,Maroc
id_transaction_00000294,Retrait,1500.53,USD,3.35,Complétée,New York,USA
id_transaction_00000295,Dépôt,1899.69,JPY,8.42,Complétée,Tokyo,Japon
id_transaction_00000296,Carte,40.76,JPY,4.83,Complétée,Tokyo,Japon
id_transaction_00000297,Virement International,10.0,CNY,0.22,Complétée,Pékin,Chine
id_transaction_00000298,Virement International,2160.71,CNY,8.77,Complétée,Pékin,Chine
id_transaction_00000299,Retrait,1524.61,GBP,9.75,Complétée,Londres,Royaume-Uni
id_transaction_00000300,Prélèvement,142.74,USD,2.68,Complétée,New York,USA
id_transaction_00000301,Dépôt,584.42,GBP,5.6,Complétée,Londres,Royaume-Uni
id_transaction_00000302,Prélèvement,459.89,MAD,2.6,Complétée,Casablanca,Maroc
id_transaction_00000303,Prélèvement,114.82,JPY,3.38,Complétée,Tokyo,Japon
id_transaction_00000304,Retrait,1008.5,JPY,1.14,Complétée,Tokyo,Japon
id_transaction_00000305,Virement,258.96,MAD,7.08,Complétée,Casablanca,Maroc
id_transaction_00000306,Virement International,4042.55,GBP,58.78,Complétée,Londres,Royaume-Uni
id_transaction_00000307,Virement International,1628.64,USD,17.39,Complétée,New York,USA
id_transaction_00000308,Prélèvement,3590.47,MAD,7.57,Complétée,Casablanca,Maroc
id_transaction_00000309,Carte,25.89,MAD,9.47,Complétée,Casablanca,Maroc
id_transaction_00000310,Virement International,71402.51,USD,604.99,Complétée,Washington DC,USA
id_transaction_00000311,Virement International,36.3,EUR,0.1,Complétée,Paris,France
id_transaction_00000312,Retrait,85.1,JPY,2.87,Complétée,Tokyo,Japon
id_transaction_00000313,Carte,10.0,GBP,8.97,Complétée,Londres,Royaume-Uni
id_transaction_00000314,Retrait,900.87,EUR,1.66,Complétée,Paris,France
id_transaction_00000315,Virement,350.32,EUR,7.33,Complétée,Francfort,Allemagne
id_transaction_00000316,Retrait,248.84,USD,9.68,Complétée,New York,USA
id_transaction_00000317,Carte,305.85,USD,1.66,En cours,New York,USA
id_transaction_00000318,Virement,275.1,JPY,8.23,Complétée,Tokyo,Japon
id_transaction_00000319,Retrait,519.41,JPY,7.1,En attente,Tokyo,Japon
id_transaction_00000320,Prélèvement,2911.42,CNY,4.59,Complétée,Pékin,Chine
id_transaction_00000321,Retrait,914.82,USD,8.26,Complétée,Washington DC,USA
id_transaction_00000322,Retrait,114.45,MAD,7.4,En attente,Rabat,Maroc
id_transaction_00000323,Virement,4331.83,EUR,8.06,Complétée,Paris,France
id_transaction_00000324,Retrait,630.15,EUR,1.67,Complétée,Francfort,UE
id_transaction_00000325,Dépôt,22.11,MAD,2.13,Complétée,Rabat,Maroc
id_transaction_00000326,Carte,65.94,EUR,9.38,Complétée,Francfort,UE
id_transaction_00000327,Virement,65.49,CNY,9.07,Complétée,Pékin,Chine
id_transaction_00000328,Virement International,15811.07,USD,181.01,Complétée,Washington DC,USA
id_transaction_00000329,Virement International,2700.65,EUR,2.2,Complétée,Francfort,UE
id_transaction_00000330,Virement,256.1,CNY,9.11,Complétée,Pékin,Chine
id_transaction_00000331,Retrait,1529.96,EUR,2.82,Complétée,Paris,France
id_transaction_00000332,Virement International,1039.49,MAD,2.13,Complétée,Casablanca,Maroc
id_transaction_00000333,Dépôt,1078.6,ZAR,0.64,Complétée,Johannesburg,Afrique du Sud
