produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Chocolat Lindt,Alimentation,Lindt,7.1,Soldes -50%,380,Budget,380
Chocolat Lindt,Alimentation,Lindt,9.72,Soldes -30%,292,Budget,292
Nike Air Max,Mode,Nike,136.23,Aucune,252,Luxe,252
H&M T-Shirt,Mode,H&M,19.75,Aucune,279,Standard,279
Nike Air Max,Mode,Nike,144.72,Aucune,542,Premium,542
Vélo Décathlon,Sport,Décathlon,375.02,Aucune,241,Standard,241
Yaourt Nature,Alimentation,Danone,2.11,Soldes -30%,687,Budget,687
Parfum Chanel N°5,Beauté,Chanel,110.8,Aucune,676,Budget,676
Café Arabica,Alimentation,Lavazza,6.96,Soldes -20%,1250,Budget,1250
AirPods Pro,Électronique,Apple,264.67,Aucune,415,Luxe,415
Aspirateur Dyson V15,Maison,Dyson,700.88,Aucune,463,Standard,463
H&M T-Shirt,Mode,H&M,17.97,Aucune,232,Budget,232
Samsung Galaxy S24,Électronique,Samsung,905.02,Aucune,291,Luxe,291
iPhone 15 Pro,Électronique,Apple,1261.94,Aucune,1013,Premium,1013
H&M T-Shirt,Mode,H&M,17.67,Aucune,210,Budget,210
AirPods Pro,Électronique,Apple,265.27,Aucune,336,Budget,336
H&M T-Shirt,Mode,H&M,19.02,Aucune,283,Standard,283
H&M T-Shirt,Mode,H&M,19.58,Aucune,69,Standard,69
Samsung Galaxy S24,Électronique,Samsung,829.46,Aucune,274,Premium,274
Canapé IKEA Ektorp,Maison,IKEA,454.57,Aucune,133,Standard,133
iPhone 15 Pro,Électronique,Apple,1190.77,Aucune,1877,Premium,1877
Ballon Nike,Sport,Nike,34.43,Aucune,208,Standard,208
Ballon Nike,Sport,Nike,34.71,Aucune,96,Budget,96
Vélo Décathlon,Sport,Décathlon,375.85,Aucune,59,Standard,59
Aspirateur Dyson V15,Maison,Dyson,676.78,Aucune,488,Premium,488
Zara Veste Hiver,Mode,Zara,93.51,Aucune,250,Luxe,250
H&M T-Shirt,Mode,H&M,17.2,Aucune,54,Standard,54
Samsung Galaxy S24,Électronique,Samsung,909.2,Aucune,793,Luxe,793
Aspirateur Dyson V15,Maison,Dyson,622.15,Aucune,251,Premium,251
Crème L'Oréal,Beauté,L'Oréal,26.96,Aucune,144,Budget,144
Nike Air Max,Mode,Nike,147.67,Aucune,331,Premium,331
Aspirateur Dyson V15,Maison,Dyson,322.62,Soldes -50%,1108,Budget,1108
Yaourt Nature,Alimentation,Danone,3.11,Aucune,253,Budget,253
Nike Air Max,Mode,Nike,149.23,Aucune,282,Standard,282
Zara Veste Hiver,Mode,Zara,90.3,Aucune,155,Première Commande,155
PlayStation 5,Électronique,Sony,394.53,Promo Flash -25%,1835,Standard,1835
AirPods Pro,Électronique,Apple,248.19,Aucune,297,Première Commande,297
Adidas Survêtement,Mode,Adidas,63.25,Soldes -20%,387,Luxe,387
Chocolat Lindt,Alimentation,Lindt,13.12,Soldes -20%,636,Budget,636
Lampe Philips Hue,Maison,Philips,63.4,Aucune,595,Standard,595
Canapé IKEA Ektorp,Maison,IKEA,310.97,Black Friday -40%,591,Standard,591
Zara Veste Hiver,Mode,Zara,85.39,Aucune,168,Luxe,168
Huile d'Olive Bio,Alimentation,Terra Bio,12.35,Aucune,536,Budget,536
Chocolat Lindt,Alimentation,Lindt,15.22,Aucune,234,Budget,234
iPhone 15 Pro,Électronique,Apple,1084.95,Aucune,531,Luxe,531
Ballon Nike,Sport,Nike,25.5,Soldes -20%,187,Budget,187
Samsung Galaxy S24,Électronique,Samsung,596.42,Soldes -30%,573,Luxe,573
Parfum Chanel N°5,Beauté,Chanel,88.05,2ème à -50%,847,Budget,847
iPhone 15 Pro,Électronique,Apple,1119.15,Aucune,847,Premium,847
iPhone 15 Pro,Électronique,Apple,878.4,2ème à -50%,3510,Premium,3510
Huile d'Olive Bio,Alimentation,Terra Bio,12.04,Aucune,738,Standard,738
PlayStation 5,Électronique,Sony,380.24,Promo Flash -25%,655,Luxe,655
AirPods Pro,Électronique,Apple,260.71,Aucune,203,Standard,203
Lampe Philips Hue,Maison,Philips,45.87,Promo Flash -25%,902,Budget,902
Yaourt Nature,Alimentation,Danone,3.14,Aucune,89,Budget,89
Huile d'Olive Bio,Alimentation,Terra Bio,11.05,Aucune,728,Standard,728
Café Arabica,Alimentation,Lavazza,7.57,Aucune,533,Budget,533
Parfum Chanel N°5,Beauté,Chanel,85.01,Soldes -30%,1049,Standard,1049
Canapé IKEA Ektorp,Maison,IKEA,406.59,Promo Flash -25%,196,Standard,196
Crème L'Oréal,Beauté,L'Oréal,26.86,Aucune,82,Budget,82
Nike Air Max,Mode,Nike,136.41,Aucune,200,Première Commande,200
Adidas Survêtement,Mode,Adidas,69.95,Aucune,70,Budget,70
Parfum Chanel N°5,Beauté,Chanel,85.23,Cyber Monday -35%,1387,Standard,1387
Nike Air Max,Mode,Nike,132.44,Aucune,591,Standard,591
Aspirateur Dyson V15,Maison,Dyson,488.43,Soldes -20%,929,Première Commande,929
Ballon Nike,Sport,Nike,37.08,Aucune,221,Budget,221
iPhone 15 Pro,Électronique,Apple,1270.35,Aucune,1182,Premium,1182
Café Arabica,Alimentation,Lavazza,8.31,Aucune,223,Budget,223
Canapé IKEA Ektorp,Maison,IKEA,498.89,Aucune,52,Standard,52
Yaourt Nature,Alimentation,Danone,2.75,Aucune,294,Standard,294
Huile d'Olive Bio,Alimentation,Terra Bio,6.72,Black Friday -40%,446,Standard,446
Crème L'Oréal,Beauté,L'Oréal,25.63,Aucune,215,Budget,215
MacBook Air M3,Électronique,Apple,825.78,Soldes -30%,1176,Premium,1176
Yaourt Nature,Alimentation,Danone,2.81,Aucune,188,Budget,188
Adidas Survêtement,Mode,Adidas,52.43,Soldes -30%,168,Première Commande,168
Ballon Nike,Sport,Nike,35.9,Aucune,185,Budget,185
iPhone 15 Pro,Électronique,Apple,1195.8,Aucune,1851,Luxe,1851
Yaourt Nature,Alimentation,Danone,2.98,Aucune,151,Standard,151
iPhone 15 Pro,Électronique,Apple,1122.5,Aucune,1238,Premium,1238
iPhone 15 Pro,Électronique,Apple,1101.94,Aucune,968,Premium,968
PlayStation 5,Électronique,Sony,545.89,Aucune,244,Standard,244
Samsung Galaxy S24,Électronique,Samsung,889.91,Aucune,351,Luxe,351
Chocolat Lindt,Alimentation,Lindt,14.92,Aucune,267,Budget,267
iPhone 15 Pro,Électronique,Apple,1108.59,Aucune,577,Premium,577
Vélo Décathlon,Sport,Décathlon,242.82,3 pour 2,681,Standard,681
Crème L'Oréal,Beauté,L'Oréal,24.21,Aucune,85,Standard,85
Samsung Galaxy S24,Électronique,Samsung,752.4,Soldes -20%,661,Premium,661
H&M T-Shirt,Mode,H&M,20.39,Aucune,279,Standard,279
Lampe Philips Hue,Maison,Philips,36.47,Black Friday -40%,542,Budget,542
Adidas Survêtement,Mode,Adidas,69.14,Aucune,159,Luxe,159
Yaourt Nature,Alimentation,Danone,1.6,Soldes -50%,310,Budget,310
Parfum Chanel N°5,Beauté,Chanel,121.1,Aucune,552,Budget,552
H&M T-Shirt,Mode,H&M,19.07,Aucune,145,Budget,145
Canapé IKEA Ektorp,Maison,IKEA,488.46,Aucune,180,Standard,180
Canapé IKEA Ektorp,Maison,IKEA,473.4,Aucune,137,Standard,137
Ballon Nike,Sport,Nike,36.19,Aucune,72,Budget,72
Café Arabica,Alimentation,Lavazza,7.4,Aucune,310,Budget,310
Ballon Nike,Sport,Nike,34.88,Aucune,208,Standard,208
Adidas Survêtement,Mode,Adidas,79.41,Aucune,276,Standard,276
PlayStation 5,Électronique,Sony,476.53,Aucune,600,Standard,600
Canapé IKEA Ektorp,Maison,IKEA,472.58,Aucune,94,Standard,94
Café Arabica,Alimentation,Lavazza,7.57,Aucune,498,Standard,498
Zara Veste Hiver,Mode,Zara,65.1,Soldes -30%,305,Standard,305
PlayStation 5,Électronique,Sony,374.6,Soldes -20%,555,Standard,555
Nike Air Max,Mode,Nike,142.6,Aucune,474,Standard,474
MacBook Air M3,Électronique,Apple,1358.92,Aucune,537,Luxe,537
Lampe Philips Hue,Maison,Philips,57.93,Aucune,200,Standard,200
Vélo Décathlon,Sport,Décathlon,371.26,Aucune,260,Budget,260
Zara Veste Hiver,Mode,Zara,95.49,Aucune,65,Standard,65
Adidas Survêtement,Mode,Adidas,68.81,Aucune,149,Budget,149
MacBook Air M3,Électronique,Apple,1373.37,Aucune,434,Premium,434
Huile d'Olive Bio,Alimentation,Terra Bio,12.88,Aucune,382,Budget,382
Crème L'Oréal,Beauté,L'Oréal,27.29,Aucune,169,Standard,169
Lampe Philips Hue,Maison,Philips,31.06,Soldes -50%,439,Premium,439
Chocolat Lindt,Alimentation,Lindt,16.4,Aucune,159,Standard,159
iPhone 15 Pro,Électronique,Apple,988.01,Soldes -20%,2603,Luxe,2603
Vélo Décathlon,Sport,Décathlon,242.27,Cyber Monday -35%,475,Standard,475
Ballon Nike,Sport,Nike,32.72,Aucune,248,Standard,248
Aspirateur Dyson V15,Maison,Dyson,607.06,Aucune,349,Budget,349
Zara Veste Hiver,Mode,Zara,91.12,Aucune,99,Premium,99
Parfum Chanel N°5,Beauté,Chanel,121.15,Aucune,258,Standard,258
H&M T-Shirt,Mode,H&M,20.18,Aucune,289,Budget,289
Adidas Survêtement,Mode,Adidas,77.82,Aucune,59,Standard,59
iPhone 15 Pro,Électronique,Apple,1171.75,Aucune,840,Premium,840
AirPods Pro,Électronique,Apple,147.21,Cyber Monday -35%,1368,Standard,1368
PlayStation 5,Électronique,Sony,484.0,Aucune,311,Budget,311
Huile d'Olive Bio,Alimentation,Terra Bio,8.14,2ème à -50%,1128,Budget,1128
Aspirateur Dyson V15,Maison,Dyson,593.09,Aucune,737,Standard,737
Yaourt Nature,Alimentation,Danone,3.05,Aucune,82,Standard,82
H&M T-Shirt,Mode,H&M,18.74,Aucune,110,Budget,110
MacBook Air M3,Électronique,Apple,1343.54,Aucune,355,Premium,355
Aspirateur Dyson V15,Maison,Dyson,678.66,Aucune,306,Première Commande,306
Crème L'Oréal,Beauté,L'Oréal,23.04,Aucune,172,Budget,172
AirPods Pro,Électronique,Apple,253.5,Aucune,539,Budget,539
Canapé IKEA Ektorp,Maison,IKEA,465.15,Aucune,270,Premium,270
iPhone 15 Pro,Électronique,Apple,1128.03,Aucune,1599,Luxe,1599
Huile d'Olive Bio,Alimentation,Terra Bio,8.21,Cyber Monday -35%,1277,Budget,1277
AirPods Pro,Électronique,Apple,230.31,Aucune,668,Budget,668
Zara Veste Hiver,Mode,Zara,80.16,Aucune,73,Standard,73
AirPods Pro,Électronique,Apple,252.98,Aucune,562,Standard,562
Parfum Chanel N°5,Beauté,Chanel,73.97,Black Friday -40%,1594,Standard,1594
Parfum Chanel N°5,Beauté,Chanel,94.73,Soldes -20%,1374,Standard,1374
Lampe Philips Hue,Maison,Philips,55.2,Aucune,648,Standard,648
Huile d'Olive Bio,Alimentation,Terra Bio,9.28,Soldes -20%,888,Budget,888
Vélo Décathlon,Sport,Décathlon,389.18,Aucune,284,Budget,284
Zara Veste Hiver,Mode,Zara,88.94,Aucune,89,Premium,89
PlayStation 5,Électronique,Sony,360.35,Soldes -20%,904,Standard,904
Yaourt Nature,Alimentation,Danone,2.15,Promo Flash -25%,345,Standard,345
Canapé IKEA Ektorp,Maison,IKEA,451.28,Aucune,284,Standard,284
AirPods Pro,Électronique,Apple,272.97,Aucune,318,Première Commande,318
Adidas Survêtement,Mode,Adidas,67.83,Aucune,220,Première Commande,220
Café Arabica,Alimentation,Lavazza,7.31,Aucune,249,Budget,249
Lampe Philips Hue,Maison,Philips,41.74,Promo Flash -25%,1047,Standard,1047
Vélo Décathlon,Sport,Décathlon,421.85,Aucune,132,Standard,132
Canapé IKEA Ektorp,Maison,IKEA,536.88,Aucune,296,Premium,296
MacBook Air M3,Électronique,Apple,1405.32,Aucune,263,Premium,263
Vélo Décathlon,Sport,Décathlon,299.77,Soldes -20%,255,Premium,255
Crème L'Oréal,Beauté,L'Oréal,23.29,Aucune,264,Budget,264
Samsung Galaxy S24,Électronique,Samsung,641.65,Soldes -30%,1708,Luxe,1708
Café Arabica,Alimentation,Lavazza,8.01,Aucune,790,Budget,790
AirPods Pro,Électronique,Apple,251.98,Aucune,734,Premium,734
Ballon Nike,Sport,Nike,24.65,Cyber Monday -35%,373,Standard,373
Lampe Philips Hue,Maison,Philips,61.5,Aucune,343,Standard,343
Lampe Philips Hue,Maison,Philips,59.91,Aucune,706,Budget,706
MacBook Air M3,Électronique,Apple,1077.93,Soldes -20%,720,Luxe,720
Nike Air Max,Mode,Nike,88.46,Cyber Monday -35%,1512,Premium,1512
Vélo Décathlon,Sport,Décathlon,431.49,Aucune,161,Luxe,161
MacBook Air M3,Électronique,Apple,1276.34,Aucune,210,Luxe,210
Vélo Décathlon,Sport,Décathlon,436.73,Aucune,295,Standard,295
Vélo Décathlon,Sport,Décathlon,278.68,Cyber Monday -35%,217,Standard,217
MacBook Air M3,Électronique,Apple,1227.91,Aucune,238,Premium,238
Lampe Philips Hue,Maison,Philips,55.93,Aucune,549,Standard,549
Ballon Nike,Sport,Nike,33.04,Aucune,58,Budget,58
H&M T-Shirt,Mode,H&M,19.07,Aucune,243,Standard,243
H&M T-Shirt,Mode,H&M,20.7,Aucune,219,Budget,219
MacBook Air M3,Électronique,Apple,1338.55,Aucune,646,Premium,646
Parfum Chanel N°5,Beauté,Chanel,108.95,Aucune,343,Standard,343
Aspirateur Dyson V15,Maison,Dyson,663.38,Aucune,509,Standard,509
Samsung Galaxy S24,Électronique,Samsung,870.03,Aucune,507,Premium,507
Adidas Survêtement,Mode,Adidas,79.77,Aucune,57,Premium,57
Aspirateur Dyson V15,Maison,Dyson,605.54,Aucune,729,Budget,729
Zara Veste Hiver,Mode,Zara,97.08,Aucune,229,Premium,229
Crème L'Oréal,Beauté,L'Oréal,23.07,Aucune,80,Standard,80
Vélo Décathlon,Sport,Décathlon,387.41,Aucune,140,Premium,140
Adidas Survêtement,Mode,Adidas,76.69,Aucune,275,Standard,275
Parfum Chanel N°5,Beauté,Chanel,124.68,Aucune,250,Luxe,250
Nike Air Max,Mode,Nike,149.68,Aucune,603,Budget,603
iPhone 15 Pro,Électronique,Apple,1171.24,Aucune,1368,Premium,1368
PlayStation 5,Électronique,Sony,488.32,Aucune,299,Budget,299
Vélo Décathlon,Sport,Décathlon,361.13,Aucune,67,Standard,67
AirPods Pro,Électronique,Apple,250.55,Aucune,535,Première Commande,535
MacBook Air M3,Électronique,Apple,1419.55,Aucune,218,Premium,218
Canapé IKEA Ektorp,Maison,IKEA,373.34,Promo Flash -25%,420,Standard,420
Canapé IKEA Ektorp,Maison,IKEA,348.17,2ème à -50%,282,Standard,282
MacBook Air M3,Électronique,Apple,1247.65,Aucune,234,Luxe,234
Vélo Décathlon,Sport,Décathlon,372.29,Aucune,254,Budget,254
Crème L'Oréal,Beauté,L'Oréal,25.62,Aucune,148,Budget,148
Vélo Décathlon,Sport,Décathlon,369.66,Aucune,164,Budget,164
AirPods Pro,Électronique,Apple,263.65,Aucune,766,Première Commande,766
Nike Air Max,Mode,Nike,142.48,Aucune,321,Standard,321
Crème L'Oréal,Beauté,L'Oréal,26.13,Aucune,200,Standard,200
Adidas Survêtement,Mode,Adidas,41.04,Black Friday -40%,195,Première Commande,195
Lampe Philips Hue,Maison,Philips,62.1,Aucune,723,Budget,723
Adidas Survêtement,Mode,Adidas,71.68,Aucune,299,Luxe,299
Zara Veste Hiver,Mode,Zara,80.89,Aucune,51,Luxe,51
Samsung Galaxy S24,Électronique,Samsung,961.2,Aucune,492,Premium,492
MacBook Air M3,Électronique,Apple,1311.76,Aucune,618,Luxe,618
Parfum Chanel N°5,Beauté,Chanel,120.01,Aucune,230,Standard,230
Zara Veste Hiver,Mode,Zara,87.24,Aucune,55,Luxe,55
Yaourt Nature,Alimentation,Danone,3.06,Aucune,272,Budget,272
H&M T-Shirt,Mode,H&M,19.21,Aucune,108,Budget,108
PlayStation 5,Électronique,Sony,463.36,Aucune,498,Budget,498
Chocolat Lindt,Alimentation,Lindt,11.77,Soldes -20%,413,Budget,413
Chocolat Lindt,Alimentation,Lindt,12.58,Soldes -20%,596,Standard,596
Parfum Chanel N°5,Beauté,Chanel,117.06,Aucune,269,Première Commande,269
Huile d'Olive Bio,Alimentation,Terra Bio,11.13,Aucune,309,Standard,309
Adidas Survêtement,Mode,Adidas,69.08,Aucune,140,Standard,140
Canapé IKEA Ektorp,Maison,IKEA,460.18,Aucune,264,Standard,264
iPhone 15 Pro,Électronique,Apple,1129.94,Aucune,1208,Luxe,1208
H&M T-Shirt,Mode,H&M,19.58,Aucune,148,Budget,148
Café Arabica,Alimentation,Lavazza,6.23,Soldes -20%,677,Budget,677
PlayStation 5,Électronique,Sony,353.47,Cyber Monday -35%,1768,Premium,1768
Samsung Galaxy S24,Électronique,Samsung,865.17,Aucune,512,Premium,512
Adidas Survêtement,Mode,Adidas,69.3,Aucune,243,Standard,243
Lampe Philips Hue,Maison,Philips,59.8,Aucune,727,Luxe,727
H&M T-Shirt,Mode,H&M,13.42,Promo Flash -25%,313,Standard,313
H&M T-Shirt,Mode,H&M,20.68,Aucune,290,Budget,290
Chocolat Lindt,Alimentation,Lindt,15.36,Aucune,119,Budget,119
Café Arabica,Alimentation,Lavazza,7.62,Aucune,374,Standard,374
Parfum Chanel N°5,Beauté,Chanel,130.33,Aucune,226,Budget,226
Aspirateur Dyson V15,Maison,Dyson,594.0,Aucune,475,Premium,475
H&M T-Shirt,Mode,H&M,13.42,Promo Flash -25%,648,Budget,648
Lampe Philips Hue,Maison,Philips,57.9,Aucune,331,Premium,331
Crème L'Oréal,Beauté,L'Oréal,17.81,Cyber Monday -35%,718,Standard,718
H&M T-Shirt,Mode,H&M,20.04,Aucune,245,Standard,245
Chocolat Lindt,Alimentation,Lindt,9.48,Soldes -30%,379,Standard,379
AirPods Pro,Électronique,Apple,236.34,Aucune,200,Première Commande,200
Samsung Galaxy S24,Électronique,Samsung,817.18,Aucune,435,Luxe,435
Aspirateur Dyson V15,Maison,Dyson,664.84,Aucune,544,Première Commande,544
Ballon Nike,Sport,Nike,32.21,Aucune,59,Standard,59
PlayStation 5,Électronique,Sony,507.15,Aucune,510,Standard,510
Zara Veste Hiver,Mode,Zara,95.16,Aucune,272,Standard,272
Lampe Philips Hue,Maison,Philips,57.01,Aucune,242,Standard,242
H&M T-Shirt,Mode,H&M,17.28,Aucune,256,Budget,256
Ballon Nike,Sport,Nike,27.58,Soldes -20%,239,Standard,239
Nike Air Max,Mode,Nike,126.28,Aucune,231,Budget,231
Adidas Survêtement,Mode,Adidas,80.23,Aucune,228,Premium,228
Canapé IKEA Ektorp,Maison,IKEA,529.61,Aucune,197,Premium,197
Huile d'Olive Bio,Alimentation,Terra Bio,10.85,Aucune,361,Budget,361
Canapé IKEA Ektorp,Maison,IKEA,520.4,Aucune,177,Première Commande,177
H&M T-Shirt,Mode,H&M,13.34,Promo Flash -25%,402,Budget,402
Nike Air Max,Mode,Nike,135.4,Aucune,620,Première Commande,620
MacBook Air M3,Électronique,Apple,1294.45,Aucune,743,Premium,743
Samsung Galaxy S24,Électronique,Samsung,983.55,Aucune,622,Luxe,622
Samsung Galaxy S24,Électronique,Samsung,864.63,Aucune,776,Premium,776
Ballon Nike,Sport,Nike,36.24,Aucune,175,Budget,175
Crème L'Oréal,Beauté,L'Oréal,26.66,Aucune,62,Budget,62
Chocolat Lindt,Alimentation,Lindt,9.99,Cyber Monday -35%,475,Standard,475
iPhone 15 Pro,Électronique,Apple,1128.36,Aucune,1973,Luxe,1973
Ballon Nike,Sport,Nike,33.44,Aucune,66,Budget,66
AirPods Pro,Électronique,Apple,272.85,Aucune,549,Premium,549
iPhone 15 Pro,Électronique,Apple,1194.93,Aucune,931,Premium,931
Nike Air Max,Mode,Nike,127.91,Aucune,474,Budget,474
Nike Air Max,Mode,Nike,133.03,Aucune,566,Standard,566
Samsung Galaxy S24,Électronique,Samsung,830.15,Aucune,327,Luxe,327
Yaourt Nature,Alimentation,Danone,1.77,Black Friday -40%,677,Budget,677
Lampe Philips Hue,Maison,Philips,60.95,Aucune,396,Luxe,396
PlayStation 5,Électronique,Sony,492.45,Aucune,553,Standard,553
H&M T-Shirt,Mode,H&M,19.59,Aucune,57,Budget,57
iPhone 15 Pro,Électronique,Apple,1094.09,Aucune,1599,Luxe,1599
Nike Air Max,Mode,Nike,136.73,Aucune,672,Standard,672
H&M T-Shirt,Mode,H&M,17.36,Aucune,184,Budget,184
Adidas Survêtement,Mode,Adidas,68.03,Aucune,209,Standard,209
Café Arabica,Alimentation,Lavazza,6.52,Promo Flash -25%,933,Budget,933
PlayStation 5,Électronique,Sony,305.54,Cyber Monday -35%,897,Budget,897
Crème L'Oréal,Beauté,L'Oréal,26.91,Aucune,122,Budget,122
Ballon Nike,Sport,Nike,37.61,Aucune,246,Budget,246
Lampe Philips Hue,Maison,Philips,44.41,Soldes -30%,1092,Luxe,1092
MacBook Air M3,Électronique,Apple,893.75,Soldes -30%,888,Premium,888
iPhone 15 Pro,Électronique,Apple,1206.65,Aucune,945,Luxe,945
Huile d'Olive Bio,Alimentation,Terra Bio,12.32,Aucune,327,Budget,327
Canapé IKEA Ektorp,Maison,IKEA,523.89,Aucune,238,Budget,238
Huile d'Olive Bio,Alimentation,Terra Bio,11.21,Aucune,722,Budget,722
Zara Veste Hiver,Mode,Zara,82.64,Aucune,273,Standard,273
Parfum Chanel N°5,Beauté,Chanel,122.67,Aucune,444,Budget,444
Adidas Survêtement,Mode,Adidas,75.53,Aucune,171,Budget,171
Vélo Décathlon,Sport,Décathlon,424.58,Aucune,152,Premium,152
iPhone 15 Pro,Électronique,Apple,1095.16,Aucune,1084,Luxe,1084
iPhone 15 Pro,Électronique,Apple,1202.21,Aucune,847,Premium,847
H&M T-Shirt,Mode,H&M,17.36,Aucune,214,Budget,214
Parfum Chanel N°5,Beauté,Chanel,116.96,Aucune,262,Standard,262
Lampe Philips Hue,Maison,Philips,61.97,Aucune,284,Budget,284
Adidas Survêtement,Mode,Adidas,72.7,Aucune,201,Budget,201
Huile d'Olive Bio,Alimentation,Terra Bio,11.54,Aucune,431,Budget,431
Chocolat Lindt,Alimentation,Lindt,15.67,Aucune,83,Budget,83
Parfum Chanel N°5,Beauté,Chanel,114.53,Aucune,763,Standard,763
Aspirateur Dyson V15,Maison,Dyson,612.49,Aucune,597,Budget,597
